,0
207,346165.69029306265
208,369118.4959257141
209,206125.20377331635
210,276450.1146028255
211,326965.8844410968
212,301090.58702043013
213,324463.9691228196
214,341046.7836167516
215,434239.7658194527
216,318376.5223494472
217,473912.5791521765
218,325049.48309809074
219,456033.5013294833
220,289490.5825508952
221,345483.1951443347
222,409027.1281527935
223,256825.70608790062
224,269518.7208798158
225,386866.65222484234
226,213422.08553958553
227,289259.336638676
228,328380.30069674953
229,309392.1426666056
230,229599.46280976728
231,453024.04525680374
232,460812.5923907088
233,230521.82769116532
234,336774.92350797623
235,257149.6394609008
236,373001.58408077166
237,390270.13980789075
238,296013.7398157424
239,430256.0751944849
240,305341.5448168447
241,314074.95656138787
242,266902.38719560916
243,210557.03671302935
244,253793.7026138884
245,288355.42437603016
246,286227.5893996728
247,358284.1418385883
248,227027.06810696307
249,324692.6743995166
250,355381.8347936961
251,284198.8940886502
252,334215.094922172
253,367663.0672389815
254,311572.06912164704
255,318294.517589922
256,218104.90640061774
257,341755.2523329491
258,297551.07230073644
259,322216.08152940625
260,276377.5548263325
261,332566.18926452415
262,334520.3543842434
263,357856.2338497824
264,189202.1489220925
265,361605.9185238027
266,355123.48798907845
267,265987.7739844435
268,285753.761772691
269,230035.80101454613
270,350111.8896289712
271,351073.942024849
272,324701.7708085632
273,253566.27356932583
274,282085.9688692849
275,416691.68417882256
276,429480.88923818374
277,457147.74338836654
278,219146.30130438373
279,297246.16895756806
280,315134.5899620863
281,348242.7987016185
282,433769.2282358678
283,302310.4702499343
284,332491.7429109597
285,361978.0946629693
286,280254.77168431645
287,390833.5286711557
288,299229.7083751522
289,289897.0756236658
290,249034.68068795317
291,314851.94064701966
292,272071.9793386525
293,249419.1244716833
294,336741.1601137634
295,312042.15011344076
296,210658.234975315
297,399044.68357034837
298,300991.1301979219
299,307016.14709939936
300,321527.18996489065
301,369304.1606253289
302,279115.41763912095
303,335087.4875310782
304,205035.3451541953
305,354488.9549697129
306,267474.1618593216
307,368216.0773536406
308,284003.2379742467
309,481378.1592843581
310,267059.5562102151
311,297450.9655141897
312,291910.94761933543
313,323387.8167550313
314,404965.9496515033
315,284211.54821506736
316,297927.1910881349
317,231893.48422953152
318,352910.9864817012
319,316310.5887136058
320,270204.4674044322
321,221172.6065987337
322,266579.32843758614
323,308691.8399855081
324,312659.3674542715
325,382879.3031864647
326,255843.97720663814
327,295093.1432219251
328,333693.2963359627
329,304691.9222848375
330,304635.0334060598
331,229883.51724581054
332,232914.792038012
333,272167.76229401457
334,296537.62327855284
335,207977.25325817938
336,377502.8644304293
337,266779.8621497817
338,221025.44045203953
339,361043.74671588733
340,175970.21740862873
341,229241.8021023054
342,320598.2594529127
343,541271.5891288886
344,377883.34970900806
345,445861.37389406643
346,338013.4932789149
347,287201.8465833258
348,382490.3816454565
349,530015.815938674
350,203467.7206135111
351,302548.45686269936
352,253700.93414822762
353,400033.2091747189
354,266827.5870757643
355,229399.72628609734
356,197055.55607804036
357,306759.2730152501
358,457603.66725528194
359,247949.5224264878
360,292384.9941525686
361,298128.6975144741
362,336173.02638055035
363,302334.15861787024
364,266084.1591776322
365,305597.3134647933
366,400351.3851993531
367,323547.9027564124
368,271183.485208184
369,258302.31265519088
370,337435.7324739106
371,333184.99650357314
372,298563.3116580428
373,339249.13003739074
374,252311.22345373855
375,359128.71205471846
376,303931.4492913707
377,296117.85167930194
378,214277.56101554245
379,318014.5650866502
380,271500.29641946254
381,268287.17201223964
382,278106.752365288
383,311815.80510128813
384,372959.1609615519
385,252190.32383399093
386,313618.51890904567
387,243890.26842997473
388,190100.37965930376
389,405306.20268908894
390,281282.0896976262
391,254703.25571220144
392,313675.2176619596
393,349233.6033454194
394,277663.85732531187
395,287681.48025419627
396,323862.3737452539
397,324370.77257731435
398,273261.3648095384
399,308602.85747944616
400,263961.77484715765
401,268356.8954435438
402,321285.16033523885
403,330467.48427971016
404,259580.50397228482
405,216806.94200988085
406,263130.42985022115
407,262988.33333541156
408,350024.4265666764
409,298349.33707326715
410,301047.8320626548
411,274689.76801880036
412,255316.88923032992
413,460274.6962646954
414,420377.9305512404
415,321872.62681862543
416,383415.53969056136
417,276929.010028619
418,291506.3501540722
419,283887.4269559351
420,212219.28828822495
421,374861.9397642605
422,405222.7349689114
423,228252.8198083771
424,305301.5474647868
425,340542.6375739956
426,294914.0821985785
427,303015.0277168066
428,437177.16736401117
429,294462.33090614696
430,194551.41978783952
431,390119.92920115835
432,429901.6249903796
433,203272.68441790846
434,324995.067116795
435,260343.2869535809
436,277263.10290854145
437,235769.95905434535
438,295847.692170743
439,317907.9724883251
440,273958.2246337101
441,240678.56186321453
442,344784.3887633648
443,322422.75697578036
444,155505.5418834201
445,341564.50951360073
446,253714.6675149492
447,285365.19989298715
448,324607.45305988635
449,415922.77312898263
450,233146.97934498094
451,306495.0437962675
452,303940.6449944213
453,330943.7501006234
454,337008.49869463086
455,269492.2515685014
456,298236.7368552851
457,282860.82574298175
458,349697.60499555804
459,291195.0775925135
460,302193.27999772213
461,318225.5463849334
462,342803.43533983076
463,301864.39982765046
464,265344.4064829664
465,264841.4314656126
