,coeff,gen_firsts_fitnesses,gen_firsts_predictions,hof_fitnesses,hof_predictions,Win
133,-0.043392739,24.76861692,9.734410558,15.66951683,8.284455479,TRUE
134,-0.748563789,26.50907033,8.126144665,17.95828001,9.762188424,FALSE
135,0.86520285,26.53143118,11.73553808,14.34507878,7.767423845,TRUE
136,0.694416085,25.17183579,10.76951655,14.23868236,8.472274743,TRUE
137,-0.490345104,25.73761836,11.74812876,15.58628628,14.87118409,FALSE
138,0.568085345,23.54020174,16.81494193,14.2328089,14.84194975,TRUE
139,-0.53643471,25.04558867,7.205138734,14.74442265,8.628302834,FALSE
140,-0.087097315,27.37502594,12.83696763,16.24264517,9.379695343,TRUE
141,-0.571971524,25.12594789,10.71873863,13.5520739,10.99022753,FALSE
142,0.047717547,28.09576391,8.027579468,15.35327043,8.0629459,FALSE
143,0.388259287,23.00115353,11.25912019,14.84477675,10.53456401,TRUE
144,-0.025548823,24.82274323,6.080905524,14.86080542,5.509967077,TRUE
145,-0.541422181,25.22327489,18.19056571,14.26428624,21.49771655,FALSE
146,0.28413903,26.24805158,10.05121931,15.26135935,10.52952756,FALSE
147,-0.31666843,27.31802522,15.12483594,14.48541196,14.43977473,TRUE
148,0.897957289,23.77057724,11.40513132,15.41538983,8.027920375,TRUE
149,0.520495744,25.54036069,12.12073631,15.90941762,10.5031893,TRUE
150,0.665819233,24.51550934,20.53965569,16.46797903,9.987630941,TRUE
151,-0.156396958,26.89553021,9.57583828,14.27430053,9.654784173,FALSE
152,0.563587735,24.25010445,11.61625215,15.99554954,11.20715028,TRUE
153,0.674560854,26.04371884,21.43722917,16.68585316,11.0323253,TRUE
154,-0.511158456,22.38782714,24.46643648,14.47125034,22.15034138,TRUE
155,-0.277467969,24.17213898,9.490153716,16.57337657,6.917149138,TRUE
156,0.447920236,24.37377437,16.90037047,14.92838778,12.76766766,TRUE
157,0.654663308,23.02195488,6.896454495,17.62197077,8.219291234,FALSE
158,0.165030161,27.66194712,7.300451757,14.50094209,7.588135696,FALSE
159,-0.213685128,26.85905292,12.31253918,15.5301369,17.36828189,FALSE
160,-0.470772079,22.96073197,25.82576342,13.99919619,24.86301789,TRUE
161,0.506570111,23.40201266,17.48253824,15.43895996,15.13047789,TRUE
162,0.006568664,21.86432364,19.15770062,14.33494143,13.55695985,TRUE
163,0.233847806,25.42427806,8.37869705,14.93656274,10.53628667,FALSE
164,0.892014485,23.18469851,22.08167687,17.08612418,12.04632617,TRUE
165,-0.082882088,24.1709362,10.6793896,14.28057934,11.1960992,FALSE
166,0.457028794,23.56649379,15.20908747,15.70338793,17.22405397,FALSE
167,0.510567629,26.12726449,14.41875374,15.72454576,10.14324277,TRUE
168,0.419300485,23.73259391,8.091801754,15.85830713,10.93964765,FALSE
169,-0.278660563,26.33737311,7.639714092,15.77719751,8.58627796,FALSE
170,-0.071050504,25.7371196,18.49085003,14.22235438,19.70700087,FALSE
171,-0.728651638,24.89786255,11.85864407,15.24508249,12.97925807,FALSE
172,-0.237247885,22.1447151,10.38121132,15.48336639,10.50083709,FALSE
173,0.20793377,23.04815911,20.01276491,15.00445705,17.16406943,TRUE
174,-0.490223525,23.51714646,11.16529504,14.26637314,10.21247629,TRUE
175,0.449224033,25.23926543,6.948989769,16.1555902,7.031895519,FALSE
176,-0.191130826,26.96084172,10.87446738,14.47534965,13.12235209,FALSE
177,0.83919458,23.27613577,8.070035566,16.48676334,6.580479132,TRUE
178,0.560335867,24.59584983,28.4003259,15.46087119,15.93745656,TRUE
179,0.670117603,26.29410723,11.51622768,15.18255578,8.889937792,TRUE
180,0.662194331,24.30129318,15.71159961,14.04981619,12.88908374,TRUE
181,-0.539826073,25.41627472,20.2169898,14.73016232,11.78069451,TRUE
182,0.836341506,28.94562101,11.61079767,16.17317665,6.877777176,TRUE
183,-0.460830009,24.19939737,10.29911061,16.34895013,10.69515455,FALSE
184,-0.720620245,25.04085925,8.151765045,16.06088562,8.901105039,FALSE
185,-0.223080933,23.91345163,25.0862589,14.88078005,19.46535399,TRUE
186,0.614430207,22.44146603,13.10581698,15.30323641,13.99368229,FALSE
187,0.628463295,25.37698393,12.63021236,14.89598389,11.61335424,TRUE
188,0.169957118,22.76982039,13.41391707,15.23414899,14.03739565,FALSE
189,0.07237621,22.08678848,8.195882389,15.19607169,9.590825101,FALSE
190,0.279219814,23.29448292,20.15223097,16.36070369,15.93540171,TRUE
191,0.793319361,25.72849622,19.33416322,14.38637113,17.39548476,TRUE
192,0.535975734,25.37875751,9.454594765,15.41874419,8.56354869,TRUE
193,0.078267646,22.91314809,14.62214995,15.37082825,14.33914078,TRUE
194,0.844078155,23.29925032,9.827845321,18.08224833,6.789644169,TRUE
195,-0.391618194,25.04680091,13.171011,15.47254326,12.98864535,TRUE
196,0.705843949,24.19966319,13.73766199,15.26394434,13.19243691,TRUE
197,0.877574961,22.61001042,22.89782247,14.67481762,14.10569042,TRUE
198,0.189374502,25.75329977,10.88612675,17.81927666,7.990695643,TRUE
199,-0.339113311,28.71334815,21.99637883,13.9733515,14.41293287,TRUE
